llh	children_0	children_1	children_2	children_3	children_4	children_5	children_6	children_7
-589.34326171875	1	2;3		5;4	7	6		
-590.6139526367188	1	2;3		4;7	5	6		
-591.1448364257812	1	2;3		6;4	7		5	
-590.6777954101562	1	2;6;3		4;7				5
-590.6289672851562	1	2;3;7		4;6				5
-589.3331909179688	1	2;3		6;4	7			5
-590.6777954101562	1	2;3		4;7	6			5
-591.5774536132812	1	2;4;5;7			3			6
-589.7142333984375	1	2;6;3		4	5;7			
-591.0416870117188	1	2;6;4		7	3;5			
-591.5531616210938	1	2;4;5;7			3	6		
-591.5706787109375	1	2;4;6;7			3			5
-591.0210571289062	1	2;4;7			3	6		5
-591.0210571289062	1	2;4;7			3			5;6
-591.2471313476562	1	2;3;6;7		4	5			
-590.6139526367188	1	2;6;3		4;7	5			
-590.5809326171875	1	2;3;7		4	5			6
-590.5425415039062	1	5;4	6	2;7	3			
-590.5809326171875	1	2;3;7		4;6	5			
-590.581298828125	1	2;4		5;6;7	3			
-590.2514038085938	1	2;4		5;7	3			6
-591.0510864257812	1	2;4		5;7	3;6			
-590.2504272460938	1	2;4		5;7	3	6		
-590.146484375	1	5;4	6	7	3			2
-590.2898559570312	1	2;4		6;7	3			5
-590.1945190429688	1	2;4		7	3	6		5
-590.1945190429688	1	2;4		7	3			5;6
-590.5809326171875	1	2;3;7		4	5;6			
-591.2523193359375	1	2;4		6;7	3;5			
-591.0416870117188	1	2;4		7	3;5			6
-590.9931640625	1	2;4		7	3;5	6		
-590.88037109375	1	2;4		7	3;6			5
-589.2850952148438	1	2;5;3		4	7	6		
-590.146484375	1	2;5;4		7	3	6		
-590.9730224609375	1	2;4;7		5	3	6		
-590.5809326171875	1	2;3;7		4	5	6		
-591.1378784179688	1	2;6;3		4	7		5	
-589.3331909179688	1	2;6;3		4	7			5
-590.1945190429688	1	2;6;4		7	3			5
-591.0210571289062	1	2;4;7		6	3			5
-590.6289672851562	1	2;3;7		4	6			5
-589.5178833007812	2;1	5;3	6	4	7			
-590.3792724609375	2;1	5;4	6	7	3			
-589.8473510742188	1	2;6;3	5	4	7			
-590.708740234375	1	2;6;4	5	7	3			
-589.8473510742188	1	2;3	5	6;4	7			
-591.5352783203125	1	2;4;7	5	6	3			
-591.1761474609375	1	2;3	5	4;7	6			
-590.2412109375	1	2;3	5	4	6;7			
-589.8473510742188	1	2;3	5	4	7			6
-591.1433715820312	1	2;3;7	5	4	6			
-590.8040161132812	1	2;4	5	6;7	3			
-590.708740234375	1	2;4	5	7	3			6
-591.39453125	1	2;4	5	7	3;6			
-589.8475341796875	1	2;3	5;6	4	7			
-590.7089233398438	1	2;4	5;6	7	3			
-590.8528442382812	1	4;7	5;6	2	3			
-590.1810913085938	1	3;7	5;6	4	2			
-589.8674926757812	1	6;3	5	2;4	7			
-591.104736328125	1	6;4	5	2;7	3			
-590.8526611328125	1	4;7	5	2;6	3			
-591.1294555664062	1	4;6;7	5	2	3			
-590.8526611328125	1	4;7	5	2	3			6
-590.2010498046875	1	3;7	5	2;4	6			
-590.7620849609375	1	6;3	5	4	2;7			
-590.6129150390625	1	3;6;7	5	4	2			
-591.1761474609375	1	6;3	5	4;7	2			
-590.180908203125	1	3;7	5	4	2			6
-590.180908203125	1	3;7	5	4;6	2			
-590.180908203125	1	3;7	5	4	2;6			
-589.7374267578125	1	5;3	6	4	7	2		
-590.5988159179688	1	5;4	6	7	3	2		
-590.7427368164062	1	4;7	6	5	3	2		
-590.0709228515625	1	3;7	6	4	5	2		
-589.8473510742188	1	6;3	5	4	7			2
-590.708740234375	1	6;4	5	7	3			2
-590.8526611328125	1	4;7	5	6	3			2
-590.180908203125	1	3;7	5	4	6			2
-590.8562622070312	5;6;1	2;3		4;7				
-590.6932983398438	5;1	2;6;3		4;7				
-590.983154296875	5;1	2;3;7		4;6				
-591.328369140625	5;1	2;3		4;6;7				
-589.408935546875	6;1	2;3		5;4	7			
-590.6854858398438	5;1	2;3		4;7				6
-590.3170776367188	6;1	2;4		5;7	3			
-591.4968872070312	5;6;1	2;3;7		4				
-590.6881713867188	6;1	2;5;3		4;7				
-590.983154296875	5;1	2;3;7		4				6
-591.3157348632812	1	3;5;2;7	6	4				
-589.286376953125	1	5;6;3		2;4	7			
-590.5425415039062	1	5;6;4		2;7	3			
-590.085693359375	1	3;5;7	6	4				2
-590.6139526367188	1	5;2;3	6	4;7				
-591.1433715820312	1	3;2;7	5	4				6
-591.2124633789062	1	3;2;7	5;6	4				
-590.0869140625	1	5;3;7	6	2;4				
-590.7841796875	1	3;5;7	6	4		2		
-590.6129150390625	1	3;6;7	5	4				2
-589.2951049804688	1	5;3		2;6;4	7			
-590.588134765625	1	5;4;7		2;6	3			
-589.68017578125	1	5;3		2;4	6;7			
-589.286376953125	1	5;3		2;4	7			6
-590.6139526367188	1	5;3	6	4;7				2
-590.0869140625	1	5;3;7		2;4	6			
-591.0452880859375	1	5;4		2;6;7	3			
-590.5425415039062	1	5;4		2;7	3			6
-591.4432983398438	1	5;4		2;7	3;6			
-590.9768676757812	5;1	2;3;7		4		6		
-591.1434326171875	1	3;2;7	5	4		6		
-591.0001831054688	6;1	2;3;7		4				5
-590.629150390625	1	3;2;7	6	4				5
-590.1810913085938	1	3;7	5;6	4				2
-590.1190185546875	1	3;7	6	4		2		5
-590.180908203125	1	3;7	5	4				2;6
-590.180908203125	1	3;7	5	4		6		2
-591.5545654296875	1	3;7	6	4			5	2
-589.9398803710938	1	3;7	6	4				2;5
-591.1761474609375	1	2;6;3	5	4;7				
-591.1433715820312	1	2;3;7	5	4;6				
-589.34326171875	1	2;3	6	5;4	7			
-591.1761474609375	1	2;3	5	4;7				6
-590.2514038085938	1	2;4	6	5;7	3			
-591.1763305664062	1	2;3	5;6	4;7				
-590.2012329101562	1	3;7	5;6	2;4				
-589.86767578125	1	3	5;6	2;4	7			
-591.1763305664062	1	3	5;6	4;7	2			
-590.633056640625	1	3;6;7	5	2;4				
-590.2010498046875	1	3;7	5	2;4				6
-590.2410888671875	1	3;7	5	2;4;6				
-589.876220703125	1	3	5	2;6;4	7			
-590.2904663085938	1	4;7	6	2;5	3			
-590.2613525390625	1	3	5	2;4	6;7			
-589.8674926757812	1	3	5	2;4	7			6
-589.6767578125	1	3;7	6	5;4	2			
-590.7620849609375	1	3	5	6;4	2;7			
-591.1761474609375	1	3	5	4;7	2			6
-591.1761474609375	1	3	5	4;7	2;6			
-591.0662231445312	1	5;3	6	4;7		2		
-590.1290893554688	1	3;7	6	4;5		2		
-589.7955322265625	1	3	6	5;4	7	2		
-591.0662231445312	1	3	6	4;7	5	2		
-591.1762084960938	1	6;3	5	4;7				2
-590.180908203125	1	3;7	5	4;6				2
-589.8473510742188	1	3	5	6;4	7			2
-591.1762084960938	1	3	5	4;7	6			2
-591.5783081054688	6;1	2;3		4;5;7				
-591.01025390625	6;1	2;3;7		4;5				
-590.6840209960938	1	3;5;6;7		2;4				
-590.0869140625	1	3;5;7		2;4				6
-590.6392211914062	1	3;2;7	6	4;5				
-590.1919555664062	1	5;3;7		2;4;6				
-589.4229736328125	1	6;3		2;5;4	7			
-591.1002807617188	1	6;4		2;5;7	3			
-590.0826416015625	1	3;5;7		2;4		6		
-590.0999755859375	1	3;6;7		2;4				5
-589.6767578125	1	3;7	6	4;5				2
-589.6679077148438	1	3;7		2;4		6		5
-591.47265625	1	3;7		2;4			5	6
-589.6679077148438	1	3;7		2;4				5;6
-591.5126342773438	1	2;3	6	4;5;7				
-589.791015625	1	3;7	6	2;4;5				
-589.4229736328125	1	3	6	2;5;4	7			
-591.5126342773438	1	3	6	5;4;7	2			
-590.2839965820312	1	3;6;7		2;4;5				
-589.791015625	1	3;7		2;4;5				6
-590.0245971679688	1	3;7		2;4;5;6				
-589.572509765625	1	3		2;5;6;4	7			
-590.2904663085938	1	4;7		2;5;6	3			
-589.8765258789062	1	3		2;5;4	6;7			
-589.4229736328125	1	3		2;5;4	7			6
-591.5126342773438	1	3	6	4;5;7				2
-590.5672607421875	1	4;6;7		2;5	3			
-590.2904663085938	1	4;7		2;5	3			6
-590.2579956054688	1	3	6	5;4	2;7			
-589.791015625	1	3;7		2;5;4	6			
-589.790771484375	1	3		2;6;4	5;7			
-591.1458740234375	1	4;7		2;5	3;6			
-590.3132934570312	1	3		2;4	5;6;7			
-589.7154541015625	1	3		2;4	5;7			6
-589.7062377929688	1	3		2;4	5;7	6		
-591.5586547851562	1	3		2;4	6;7		5	
-589.34326171875	1	3	6	5;4	7			2
-589.7282104492188	1	3		2;4	6;7			5
-589.3344116210938	1	3		2;4	7	6		5
-591.1390991210938	1	3		2;4	7		5	6
-589.3344116210938	1	3		2;4	7			5;6
-589.790283203125	1	3;7		2;4;5		6		
-589.4227905273438	1	3		2;5;4	7	6		
-591.5687255859375	1	3;7		2;4;6			5	
-591.2012329101562	1	3		2;6;4	7		5	
-591.1763916015625	1	3	5;6	4;7				2
-591.1300659179688	1	3	6	4;7		2		5
-591.1762084960938	1	3	5	4;7				2;6
-589.7079467773438	1	3;7		2;4;6				5
-589.3431396484375	1	3		2;6;4	7			5
-591.1762084960938	1	3	5	4;7		6		2
-591.0071411132812	1	3	6	4;7				2;5
-591.286376953125	6;1	2;4;7		5	3			
-591.0289916992188	1	4;5;6;7		2	3			
-590.588134765625	1	4;5;7		2	3			6
-590.9730224609375	1	4;2;7	6	5	3			
-589.7154541015625	1	6;3		2;4	5;7			
-590.5856323242188	1	4;5;7		2	3	6		
-590.6152954101562	1	4;6;7		2	3			5
-590.2904663085938	1	4;7	6	5	3			2
-590.3384399414062	1	4;7		2	3	6		5
-590.3384399414062	1	4;7		2	3			5;6
-590.8327026367188	1	3	5;6	4	2;7			
-589.7154541015625	1	3	6	2;4	5;7			
-590.6139526367188	1	3	6	4;7	2;5			
-591.4669799804688	1	3	5	4	2;6;7			
-590.7620849609375	1	3	5	4	2;7			6
-590.4014892578125	1	3	6	4	5;7	2		
-590.2412109375	1	3	5	4	6;7			2
-590.0519409179688	1	3;6;7		2;4	5			
-589.619873046875	1	3;7		2;4	5			6
-589.659912109375	1	3;7		2;4;6	5			
-590.2661743164062	1	3		5;6;4	2;7			
-591.5126342773438	1	3		4;5;7	2			6
-591.3821411132812	1	4;7		2;6	3;5			
-591.5126342773438	1	3		5;4;7	2;6			
-590.9625854492188	1	3		5;4	2;6;7			
-590.2579345703125	1	3		5;4	2;7			6
-591.4884643554688	1	3		4;5;7	2	6		
-590.6139526367188	1	3	6	4;7	5			2
-591.3206787109375	1	3		4;6;7	2			5
-590.6777954101562	1	3		4;7	2	6		5
-590.6777954101562	1	3		4;7	2			5;6
-591.3821411132812	1	4;7		2	3;5			6
-590.9835815429688	1	3	6	4	2;5;7			
-589.619873046875	1	3;7		2;4	5;6			
-591.2568359375	1	3		4;6;7	2;5			
-590.9833984375	1	3		6;4	2;5;7			
-590.6139526367188	1	3		4;7	2;5			6
-590.6139526367188	1	3		4;7	2;5;6			
-590.9833984375	1	3		4	2;5;7			6
-590.9288330078125	1	3		4	2;5;7	6		
-589.7142333984375	1	3	6	4	5;7			2
-590.9525146484375	1	3		4	2;6;7			5
-590.2478637695312	1	3		4	2;7	6		5
-590.2478637695312	1	3		4	2;7			5;6
-590.7621459960938	1	3	5	4	2;7	6		
-590.2579345703125	1	3		5;4	2;7	6		
-591.2791748046875	1	4;7		2	3;5	6		
-590.6139526367188	1	3		4;7	2;5	6		
-589.8475341796875	1	3	5;6	4	7			2
-590.2479248046875	1	3	6	4	2;7			5
-589.7854614257812	1	3	6	4	7	2		5
-589.8473510742188	1	3	5	4	7			2;6
-590.2478637695312	1	3		6;4	2;7			5
-591.1939086914062	1	4;7		2	3;6			5
-590.6777954101562	1	3		4;7	2;6			5
-589.8473510742188	1	3	5	4	7	6		2
-591.2210693359375	1	3	6	4	7		5	2
-589.6063232421875	1	3	6	4	7			2;5
-590.6854248046875	5;1	2;3		4;7		6		
-589.286376953125	1	5;3		2;4	7	6		
-590.5425415039062	1	5;4		2;7	3	6		
-591.1761474609375	1	2;3	5	4;7		6		
-590.2010498046875	1	3;7	5	2;4		6		
-589.8674926757812	1	3	5	2;4	7	6		
-591.1761474609375	1	3	5	4;7	2	6		
-589.7955322265625	1	3		5;6;4	7	2		
-590.2904663085938	1	4;7		2;5	3	6		
-590.1893920898438	1	3		5;4	6;7	2		
-589.7955322265625	1	3		5;4	7	2		6
-591.1300659179688	1	3		4;7		2		5;6
-589.619873046875	1	3;7		2;4	5	6		
-590.4014892578125	1	3		6;4	5;7	2		
-591.0662231445312	1	3		4;7	5	2		6
-591.0662231445312	1	3		4;7	5;6	2		
-591.0451049804688	1	3		4	5;6;7	2		
-590.4014892578125	1	3		4	5;7	2		6
-590.1793212890625	1	3		4	6;7	2		5
-590.8917236328125	1	3		4	7	2;6		5
-589.7854614257812	1	3		4	7	2		5;6
-590.9017944335938	1	3		5;4	7	2;6		
-589.7854614257812	1	3		6;4	7	2		5
-591.1300659179688	1	3		4;7	6	2		5
-591.13916015625	1	6;3		2;4	7		5	
-591.5596313476562	1	3;7	6	2;4			5	
-591.2261352539062	1	3	6	2;4	7		5	
-590.3742065429688	1	3		5;6;4	7		2	
-591.0264282226562	1	3		5;4	6;7		2	
-590.3159790039062	1	3		5;4	7		2	6
-591.47265625	1	3;7		2;4	6		5	
-590.6869506835938	1	3		6;4	5;7		2	
-591.586669921875	1	3		4;7	5		2	6
-591.586669921875	1	3		4;7	5;6		2	
-590.6869506835938	1	3		4	5;7		2	6
-591.0575561523438	1	3		4	5;7	6	2	
-591.0162963867188	1	3		4	6;7		2	5
-590.5010986328125	1	3		4	7	6	2	5
-590.5288696289062	1	3		4	7		2	5;6
-590.51123046875	1	3		5;4	7	6	2	
-590.305908203125	1	3		6;4	7		2	5
-590.7434692382812	6;1	2;3		4;7				5
-589.3344116210938	1	6;3		2;4	7			5
-590.590576171875	1	6;4		2;7	3			5
-590.6777954101562	1	2;3	6	4;7				5
-589.6679077148438	1	3;7	6	2;4				5
-589.3344116210938	1	3	6	2;4	7			5
-590.6777954101562	1	3	6	4;7	2			5
-589.34326171875	1	3		5;6;4	7			2
-591.5126342773438	1	3		4;5;7				2;6
-590.3384399414062	1	4;7		2;6	3			5
-591.5126342773438	1	3		5;4;7	6			2
-589.737060546875	1	3		5;4	6;7			2
-589.34326171875	1	3		5;4	7			2;6
-591.4884643554688	1	3		4;5;7		6		2
-591.0071411132812	1	3		4;7		6		2;5
-591.0071411132812	1	3		4;7				2;5;6
-589.6679077148438	1	3;7		2;4	6			5
-591.2568359375	1	3		4;6;7	5			2
-589.7142333984375	1	3		6;4	5;7			2
-590.6139526367188	1	3		4;7	5			2;6
-590.6139526367188	1	3		4;7	5;6			2
-590.310302734375	1	3		4	5;6;7			2
-589.7142333984375	1	3		4	5;7			2;6
-589.7050170898438	1	3		4	5;7	6		2
-591.5574340820312	1	3		4	6;7		5	2
-590.0001831054688	1	3		4	6;7			2;5
-589.6063232421875	1	3		4	7	6		2;5
-591.131591796875	1	3		4	7		5	2;6
-589.6063232421875	1	3		4	7			2;5;6
-589.34326171875	1	3		5;4	7	6		2
-590.6139526367188	1	3		4;7	5	6		2
-591.1448364257812	1	3		6;4	7		5	2
-589.6063232421875	1	3		6;4	7			2;5
-591.0071411132812	1	3		4;7	6			2;5
-589.7799072265625	6;1	2;3		4	5;7			
-591.1073608398438	6;1	2;4		7	3;5			
-591.311767578125	5;1	2;4;7			3			6
-591.5774536132812	1	4;5;2;7	6		3			
-590.1998291015625	1	5;6;3		4	2;7			
-590.588134765625	1	4;5;7	6		3			2
-591.5352783203125	1	4;2;7	5		3			6
-591.5825805664062	1	4;2;7	5;6		3			
-591.2222290039062	1	4;5;7	6		3	2		
-591.1294555664062	1	4;6;7	5		3			2
-590.1998291015625	1	5;3		6;4	2;7			
-590.6139526367188	1	5;3		4;7	2;6			
-590.9044799804688	1	5;3		4	2;6;7			
-590.1998291015625	1	5;3		4	2;7			6
-590.085693359375	1	5;3;7		4	2;6			
-591.3074340820312	5;1	2;4;7			3	6		
-591.5352783203125	1	4;2;7	5		3	6		
-591.3344116210938	6;1	2;4;7			3			5
-591.0210571289062	1	4;2;7	6		3			5
-590.8528442382812	1	4;7	5;6		3			2
-590.790771484375	1	4;7	6		3	2		5
-590.8526611328125	1	4;7	5		3			2;6
-590.8526611328125	1	4;7	5		3	6		2
-590.6116333007812	1	4;7	6		3			2;5
-589.7142333984375	1	2;3	6	4	5;7			
-591.0416870117188	1	2;4	6	7	3;5			
-591.3821411132812	1	4;7	6	2	3;5			
-589.61865234375	1	3;7	6	4	2;5			
-591.39453125	1	4	5	7	3;6			2
-590.6796264648438	6;1	2;3		4;7	5			
-590.9521484375	6;1	2;3;7		4	5			
