tree	llh	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7	f_0_0	f_0_1	f_0_2	f_0_3	f_0_4	f_0_5	f_0_6	f_0_7	f_1_0	f_1_1	f_1_2	f_1_3	f_1_4	f_1_5	f_1_6	f_1_7
10	-466.3652648925781	-1	0	4	0	3	4	1	1	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.3047619163990021	0.11538461595773697	0.0235294122248888	0.14152726531028748	0.14152726531028748	0.11764705926179886	0.03030303120613098	0.022727273404598236
11	-466.3652648925781	-1	0	6	0	3	4	1	1	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833358168602	0.09574468433856964	0.30476194620132446	0.11538461595773697	0.0235294122248888	0.14152728021144867	0.14152728021144867	0.11764705926179886	0.03030303120613098	0.022727273404598236
12	-466.3658752441406	-1	0	7	0	3	4	1	1	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.3047619163990021	0.11538460850715637	0.023123908787965775	0.14152728021144867	0.14152728021144867	0.11764705926179886	0.03030303120613098	0.023123908787965775
13	-466.3689880371094	-1	0	4	1	0	4	4	3	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.3047619163990021	0.12479468435049057	0.02146121859550476	0.12479468435049057	0.1611892580986023	0.11161152273416519	0.02811650186777115	0.022727273404598236
14	-466.37042236328125	-1	0	0	1	0	4	7	3	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.3047618865966797	0.12479467689990997	0.0235294122248888	0.12479467689990997	0.1538461595773697	0.11764705926179886	0.026479974389076233	0.02647997811436653
15	-466.37042236328125	-1	0	3	1	0	4	7	3	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.3047618865966797	0.12479467689990997	0.0235294122248888	0.12479467689990997	0.1538461595773697	0.11764705926179886	0.026479974389076233	0.02647997811436653
16	-466.37042236328125	-1	0	4	1	0	4	7	3	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.3047618865966797	0.12479467689990997	0.0235294122248888	0.12479467689990997	0.1538461595773697	0.11764705926179886	0.026479974389076233	0.02647997811436653
17	-466.37042236328125	-1	0	6	1	0	4	7	3	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833358168602	0.09574468433856964	0.3047618865966797	0.12479467689990997	0.0235294122248888	0.12479467689990997	0.1538461595773697	0.11764705926179886	0.026479974389076233	0.02647997811436653
18	-466.3724670410156	-1	0	0	1	0	4	3	4	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08870074898004532	1.622538547962904e-09	0.0520833320915699	0.08870075643062592	0.3047618865966797	0.12479468435049057	0.0235294122248888	0.12479468435049057	0.1538461446762085	0.11764705926179886	0.03030303120613098	0.022727273404598236
19	-466.3724670410156	-1	0	3	1	0	4	3	4	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08870074898004532	1.622538547962904e-09	0.0520833320915699	0.08870075643062592	0.3047618865966797	0.12479468435049057	0.0235294122248888	0.12479468435049057	0.1538461446762085	0.11764705926179886	0.03030303120613098	0.022727273404598236
20	-466.3724670410156	-1	0	6	1	0	4	3	4	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08870074898004532	1.622538547962904e-09	0.0520833358168602	0.08870075643062592	0.3047618865966797	0.12479468435049057	0.0235294122248888	0.12479468435049057	0.1538461446762085	0.11764705926179886	0.03030303120613098	0.022727273404598236
21	-466.3730773925781	-1	0	7	1	0	4	3	4	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08870074898004532	1.622538547962904e-09	0.0520833320915699	0.08870075643062592	0.3047618865966797	0.12479468435049057	0.023123908787965775	0.12479468435049057	0.1538461595773697	0.11764705926179886	0.03030303120613098	0.023123908787965775
22	-466.3747253417969	-1	0	6	1	0	3	0	4	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08870076388120651	9.999999974752427e-07	0.0520833358168602	0.08870075643062592	0.30660480260849	0.12422875314950943	0.0235294122248888	0.12422875314950943	0.15249642729759216	0.11764705926179886	0.029879659414291382	0.022727273404598236
23	-466.3747253417969	-1	0	3	1	0	4	0	4	0.3368420898914337	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08870074898004532	1.622538547962904e-09	0.0520833320915699	0.08870075643062592	0.30660480260849	0.12422875314950943	0.0235294122248888	0.12422875314950943	0.15249642729759216	0.11764705926179886	0.029879659414291382	0.022727273404598236
24	-466.3747253417969	-1	0	6	1	0	4	0	4	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08870074898004532	1.622538547962904e-09	0.0520833358168602	0.08870075643062592	0.30660480260849	0.12422875314950943	0.0235294122248888	0.12422875314950943	0.15249642729759216	0.11764705926179886	0.029879659414291382	0.022727273404598236
25	-466.3753356933594	-1	0	7	1	0	3	0	4	0.3368420898914337	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08870076388120651	9.999999974752427e-07	0.0520833320915699	0.08870075643062592	0.30660480260849	0.12422874569892883	0.023123908787965775	0.12422874569892883	0.15249642729759216	0.11764705926179886	0.029879644513130188	0.023123908787965775
26	-466.3753356933594	-1	0	7	1	0	4	0	4	0.3368420898914337	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08870074898004532	1.622538547962904e-09	0.0520833320915699	0.08870075643062592	0.30660480260849	0.12422874569892883	0.023123908787965775	0.12422874569892883	0.15249642729759216	0.11764705926179886	0.029879644513130188	0.023123908787965775
27	-466.37567138671875	-1	0	0	0	3	4	4	1	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.3047619163990021	0.11538461595773697	0.0235294122248888	0.14324462413787842	0.14324462413787842	0.11421283334493637	0.02903178706765175	0.022727273404598236
28	-466.37567138671875	-1	0	1	0	3	4	4	1	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.3047619163990021	0.11538461595773697	0.0235294122248888	0.14324462413787842	0.14324462413787842	0.11421283334493637	0.02903178706765175	0.022727273404598236
29	-466.37567138671875	-1	0	6	0	3	4	4	1	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833358168602	0.09574468433856964	0.3047619163990021	0.11538461595773697	0.0235294122248888	0.14324462413787842	0.14324462413787842	0.11421283334493637	0.02903178706765175	0.022727273404598236
30	-466.37628173828125	-1	0	7	0	3	4	4	1	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.3047619163990021	0.11538460850715637	0.023123908787965775	0.14324462413787842	0.14324462413787842	0.11421283334493637	0.02903178706765175	0.023123908787965775
31	-466.3801574707031	-1	0	4	1	0	3	4	3	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.3047619163990021	0.12913671135902405	0.0235294122248888	0.12913672626018524	0.1538461595773697	0.10916149616241455	0.03030303120613098	0.019975226372480392
32	-466.3801574707031	-1	0	6	1	0	3	4	3	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833358168602	0.09574468433856964	0.3047619163990021	0.12913671135902405	0.0235294122248888	0.12913672626018524	0.1538461595773697	0.10916149616241455	0.03030303120613098	0.019975226372480392
33	-466.3809814453125	-1	0	0	1	0	3	4	3	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.30550312995910645	0.12894603610038757	0.02328517846763134	0.12894603610038757	0.15327197313308716	0.1090351790189743	0.03030303120613098	0.019910842180252075
34	-466.3864440917969	-1	0	7	1	0	3	4	3	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.3047619163990021	0.12971875071525574	0.02159246802330017	0.12971875071525574	0.1538461595773697	0.10812628269195557	0.03030303120613098	0.021592464298009872
35	-466.3906555175781	-1	0	4	1	0	3	0	3	0.3368420898914337	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.3086773753166199	0.12824538350105286	0.0235294122248888	0.12824541330337524	0.15100893378257751	0.10851434618234634	0.029423028230667114	0.01973104476928711
36	-466.3906555175781	-1	0	6	1	0	3	0	3	0.3368421494960785	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833358168602	0.09574468433856964	0.3086773753166199	0.12824538350105286	0.0235294122248888	0.12824541330337524	0.15100893378257751	0.10851434618234634	0.029423028230667114	0.01973104476928711
37	-466.3975524902344	-1	0	7	1	0	3	0	3	0.3368420898914337	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.3089867830276489	0.1288045346736908	0.021447543054819107	0.1288045346736908	0.15079955756664276	0.10735701024532318	0.029382720589637756	0.021447543054819107
38	-466.4141540527344	-1	0	0	1	0	4	0	3	0.3404761552810669	0.1889054775238037	0.019107390195131302	0.12345679104328156	0.0813445970416069	9.999999974752427e-07	0.05111868306994438	0.09574468433856964	0.3163055181503296	0.1213851347565651	0.0212479829788208	0.1213851273059845	0.14579248428344727	0.11764705926179886	0.027879968285560608	0.022727273404598236
39	-466.4163818359375	-1	0	4	1	0	3	4	0	0.35064804553985596	0.1821102797985077	0.019607843831181526	0.12345679104328156	0.07826616615056992	9.999999974752427e-07	0.0520833320915699	0.09027162939310074	0.3047619163990021	0.12479468435049057	0.0235294122248888	0.12479468435049057	0.1538461595773697	0.11764705926179886	0.03030303120613098	0.022727273404598236
40	-466.4163818359375	-1	0	6	1	0	3	4	0	0.35064807534217834	0.1821102648973465	0.019607843831181526	0.12345679104328156	0.07826617360115051	9.999999974752427e-07	0.0520833358168602	0.09027162194252014	0.3047619163990021	0.12479468435049057	0.0235294122248888	0.12479468435049057	0.1538461595773697	0.11764705926179886	0.03030303120613098	0.022727273404598236
41	-466.4163818359375	-1	0	3	1	0	4	3	0	0.35064804553985596	0.1821102797985077	0.019607843831181526	0.12345679104328156	0.07826616615056992	9.999999974752427e-07	0.0520833320915699	0.09027162939310074	0.3047619163990021	0.12479468435049057	0.0235294122248888	0.12479468435049057	0.1538461595773697	0.11764705926179886	0.03030303120613098	0.022727273404598236
42	-466.4163818359375	-1	0	4	1	0	4	3	0	0.35064804553985596	0.1821102797985077	0.019607843831181526	0.12345679104328156	0.07826616615056992	9.999999974752427e-07	0.0520833320915699	0.09027162939310074	0.3047619163990021	0.12479468435049057	0.0235294122248888	0.12479468435049057	0.1538461595773697	0.11764705926179886	0.03030303120613098	0.022727273404598236
43	-466.4163818359375	-1	0	6	1	0	4	3	0	0.35064804553985596	0.1821102797985077	0.019607843831181526	0.12345679104328156	0.07826616615056992	9.999999974752427e-07	0.0520833358168602	0.09027162939310074	0.3047619163990021	0.12479468435049057	0.0235294122248888	0.12479468435049057	0.1538461595773697	0.11764705926179886	0.03030303120613098	0.022727273404598236
44	-466.4163818359375	-1	0	3	1	0	4	4	0	0.35064804553985596	0.1821102797985077	0.019607843831181526	0.12345679104328156	0.07826616615056992	9.999999974752427e-07	0.0520833320915699	0.09027162939310074	0.3047619163990021	0.12479468435049057	0.0235294122248888	0.12479468435049057	0.1538461595773697	0.11764705926179886	0.03030303120613098	0.022727273404598236
45	-466.4163818359375	-1	0	6	1	0	4	4	0	0.35064804553985596	0.1821102797985077	0.019607843831181526	0.12345679104328156	0.07826616615056992	9.999999974752427e-07	0.0520833358168602	0.09027162939310074	0.3047619163990021	0.12479468435049057	0.0235294122248888	0.12479468435049057	0.1538461595773697	0.11764705926179886	0.03030303120613098	0.022727273404598236
46	-466.4169921875	-1	0	7	1	0	3	4	0	0.35064804553985596	0.1821102797985077	0.019607843831181526	0.12345679104328156	0.07826616615056992	9.999999974752427e-07	0.0520833320915699	0.09027162939310074	0.3047619163990021	0.12479468435049057	0.023123908787965775	0.12479468435049057	0.1538461595773697	0.11764705926179886	0.03030303120613098	0.023123908787965775
47	-466.4169921875	-1	0	7	1	0	4	3	0	0.35064804553985596	0.1821102797985077	0.019607843831181526	0.12345679104328156	0.07826616615056992	9.999999974752427e-07	0.0520833320915699	0.09027162939310074	0.3047619163990021	0.12479468435049057	0.023123908787965775	0.12479468435049057	0.1538461595773697	0.11764705926179886	0.03030303120613098	0.023123908787965775
48	-466.4169921875	-1	0	7	1	0	4	4	0	0.35064804553985596	0.1821102797985077	0.019607843831181526	0.12345679104328156	0.07826616615056992	9.999999974752427e-07	0.0520833320915699	0.09027162939310074	0.3047619163990021	0.12479468435049057	0.023123908787965775	0.12479468435049057	0.1538461595773697	0.11764705926179886	0.03030303120613098	0.023123908787965775
49	-466.4173278808594	-1	0	0	0	3	4	7	1	0.3368421196937561	0.19148936867713928	0.019607843831181526	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.3047619163990021	0.11538462340831757	0.0235294122248888	0.14152728021144867	0.14152728021144867	0.11764705926179886	0.026479974389076233	0.02647997811436653
