tree	llh	pi_0	pi_1	pi_2	pi_3	pi_5	pi_6	f_0_0	f_0_1	f_0_2	f_0_3	f_0_5	f_0_6	f_1_0	f_1_1	f_1_2	f_1_3	f_1_5	f_1_6
11	-395.92877197265625	-1	3	0	0	2	1	0.420560747385025	0.16987302899360657	0.15625	0.16987302899360657	9.999999974752427e-07	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.05607476457953453	0.020202020183205605
12	-395.9557800292969	-1	3	0	0	3	1	0.420560747385025	0.16987304389476776	0.15625	0.16987302899360657	-2.4010660126805305e-10	0.05999999865889549	0.2929292917251587	0.04222646728157997	0.06956521421670914	0.09552672505378723	0.05330025777220726	0.020202020183205605
13	-395.92877197265625	-1	3	0	0	0	2	0.420560747385025	0.16987302899360657	0.15625	0.16987302899360657	9.999999974752427e-07	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.05607476457953453	0.020202020183205605
14	-395.9916687011719	-1	3	0	0	1	2	0.420560747385025	0.16987302899360657	0.15625	0.16987302899360657	9.999999974752427e-07	0.05999999865889549	0.2929292917251587	0.050689294934272766	0.06956521421670914	0.09090909361839294	0.050689294934272766	0.020202020183205605
15	-395.9477844238281	-1	3	0	0	2	2	0.420560747385025	0.16987302899360657	0.15625	0.16987302899360657	9.999999974752427e-07	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.07227496802806854	0.09090909361839294	0.05364269018173218	0.018632277846336365
16	-395.9557800292969	-1	3	0	0	3	2	0.420560747385025	0.16987304389476776	0.15625	0.16987302899360657	-2.4010660126805305e-10	0.05999999865889549	0.2929292917251587	0.04222646728157997	0.06956521421670914	0.09552672505378723	0.05330025777220726	0.020202020183205605
17	-395.9228210449219	-1	0	3	0	0	0	0.42056071758270264	0.17241379618644714	0.15625	0.1666666716337204	9.999999974752427e-07	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.05607476457953453	0.020202020183205605
18	-395.9857177734375	-1	0	3	0	1	0	0.420560747385025	0.17241379618644714	0.15625	0.1666666716337204	9.999999974752427e-07	0.05999999865889549	0.2929292619228363	0.050689294934272766	0.06956521421670914	0.09090909361839294	0.050689294934272766	0.020202020183205605
19	-395.9228210449219	-1	0	3	0	2	0	0.420560747385025	0.17241379618644714	0.15625	0.1666666716337204	9.999999974752427e-07	0.05999999865889549	0.2929293215274811	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.05607476457953453	0.020202020183205605
20	-395.9228210449219	-1	0	3	0	0	1	0.42056071758270264	0.17241379618644714	0.15625	0.1666666716337204	9.999999974752427e-07	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.05607476457953453	0.020202020183205605
21	-395.9228210449219	-1	0	3	0	2	1	0.42056071758270264	0.17241379618644714	0.15625	0.1666666716337204	9.999999974752427e-07	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.05607476457953453	0.020202020183205605
22	-395.9228210449219	-1	0	3	0	0	2	0.42056071758270264	0.17241379618644714	0.15625	0.1666666716337204	9.999999974752427e-07	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.05607476457953453	0.020202020183205605
23	-395.9857177734375	-1	0	3	0	1	2	0.42056071758270264	0.17241379618644714	0.15625	0.1666666716337204	9.999999974752427e-07	0.05999999865889549	0.2929292917251587	0.050689294934272766	0.06956521421670914	0.09090909361839294	0.050689294934272766	0.020202020183205605
24	-395.94183349609375	-1	0	3	0	2	2	0.42056071758270264	0.17241379618644714	0.15625	0.1666666716337204	9.999999974752427e-07	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.07227496802806854	0.09090909361839294	0.05364269018173218	0.018632277846336365
25	-395.9727478027344	-1	2	3	0	0	0	0.42056071758270264	0.16500402987003326	0.16500402987003326	0.1666666716337204	9.999999974752427e-07	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.05607476457953453	0.020202020183205605
26	-395.9727478027344	-1	2	3	0	0	1	0.42056071758270264	0.16500402987003326	0.16500402987003326	0.1666666716337204	9.999999974752427e-07	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.05607476457953453	0.020202020183205605
