tree	llh	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7	f_0_0	f_0_1	f_0_2	f_0_3	f_0_4	f_0_5	f_0_6	f_0_7	f_1_0	f_1_1	f_1_2	f_1_3	f_1_4	f_1_5	f_1_6	f_1_7
13	-567.6741333007812	-1	0	1	7	2	2	7	0	0.5666666626930237	0.4536082446575165	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.37115877866744995	0.22364097833633423	0.22364097833633423	0.024793388321995735	0.009129481390118599	0.21451149880886078	0.019801979884505272	0.14751780033111572
14	-567.7263793945312	-1	0	1	2	5	2	3	0	0.5666666626930237	0.4536082446575165	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.3733700215816498	0.22683390974998474	0.22683392465114594	0.0230698324739933	0.009259259328246117	0.20376409590244293	0.019801979884505272	0.14653611183166504
15	-567.7263793945312	-1	0	1	2	5	2	5	0	0.5666666626930237	0.4536082446575165	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.3733712434768677	0.22683478891849518	0.22683478891849518	0.02307598665356636	0.009259259328246117	0.20375880599021912	0.019801979884505272	0.1465364545583725
16	-567.7263793945312	-1	0	1	2	5	2	7	0	0.5666666626930237	0.4536082446575165	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.3733712434768677	0.22683478891849518	0.22683478891849518	0.02307598665356636	0.009259259328246117	0.20375880599021912	0.019801979884505272	0.1465364545583725
17	-567.7498168945312	-1	0	1	5	5	2	1	0	0.5666666030883789	0.4536082148551941	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.37657630443573	0.23151332139968872	0.21408265829086304	0.024793388321995735	0.009259259328246117	0.21408265829086304	0.017430655658245087	0.14506295323371887
18	-567.70068359375	-1	0	1	5	5	2	2	0	0.5666666626930237	0.4536082446575165	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.37264642119407654	0.22578895092010498	0.22578896582126617	0.024793388321995735	0.009259259328246117	0.20718136429786682	0.018607597798109055	0.14685747027397156
19	-567.6731567382812	-1	0	1	5	5	2	3	0	0.5666666626930237	0.4536082446575165	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.37082526087760925	0.22316107153892517	0.22316108644008636	0.024793388321995735	0.009259259328246117	0.21621622145175934	0.019801979884505272	0.14766418933868408
20	-567.6731567382812	-1	0	1	5	5	2	5	0	0.5666666626930237	0.4536082446575165	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.37082526087760925	0.22316107153892517	0.22316108644008636	0.024793388321995735	0.009259259328246117	0.21621622145175934	0.019801979884505272	0.14766418933868408
21	-567.6731567382812	-1	0	1	5	5	2	7	0	0.5666666626930237	0.4536082446575165	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.37082526087760925	0.22316107153892517	0.22316108644008636	0.024793388321995735	0.009259259328246117	0.21621622145175934	0.019801979884505272	0.14766418933868408
22	-567.7498168945312	-1	0	1	7	5	2	1	0	0.5666666030883789	0.4536082148551941	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.37657630443573	0.23151332139968872	0.21408265829086304	0.024793388321995735	0.009259259328246117	0.21408265829086304	0.017430655658245087	0.14506295323371887
